created_at,text,source,geo
2016-12-21T00:20:22.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter for iPhone,
2016-12-21T00:20:22.000Z,"RT @LakersReporter: The Lakers have it going offensively to start, using the 2nd @NickSwagyPYoung 3 to take a 19-12 lead. @Dloading has 4 a…",Twitter for iPhone,
2016-12-21T00:20:22.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter for iPhone,
2016-12-21T00:20:22.000Z,RT @Lakers: #LakeShow https://t.co/MTfhGXpbTq,Twitter for Android,
2016-12-21T00:20:23.000Z,RT @BaxterHolmes: Lakers announce that a statue of Shaq will be unveiled at Star Plaza outside Staples Center prior to the Lakers gam… ,Twitter for iPhone,
2016-12-21T00:20:23.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter for iPhone,
2016-12-21T00:20:24.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter Web Client,
2016-12-21T00:20:24.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter for iPhone,
2016-12-21T00:20:24.000Z,RT @Lakers: 450 of Kinston's finest made the four hour drive down to Charlotte to support their native son. #LakeShow https://t.co/PTJxQeKG…,Twitter for iPhone,
2016-12-21T00:20:24.000Z,Hope my Lakers can get a road win tonight in Charlotte. #GoLakers #LakeShow,Twitter for iPhone,
2016-12-21T00:20:25.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter for iPhone,
2016-12-21T00:20:25.000Z,"RT @Mike_Bresnahan: Shaq statue will be unveiled March 24 at Staples Center before Lakers-Minny game, Lakers President Jeanie Buss announce…",Twitter for iPhone,
2016-12-21T00:20:26.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter Web Client,
2016-12-21T00:20:26.000Z,Lakers reveal details on Shaq's massive statue — and when it will be unveiled - https://t.co/fXt0VfzKWL https://t.co/tghK6Mhz6U,IFTTT,
2016-12-21T00:20:26.000Z,Lakers up 19-12 midway through the 1st Q - @MKG14 #MarvinWilliams and @KembaWalker with 4pts apiece #BuzzCity,TweetDeck,
2016-12-21T00:20:27.000Z,RT @Lakers: 450 of Kinston's finest made the four hour drive down to Charlotte to support their native son. #LakeShow https://t.co/PTJxQeKG…,Twitter for Android,
2016-12-21T00:20:27.000Z,@Lakers 1st,Twitter for iPhone,
2016-12-21T00:20:28.000Z,"Timeout, Lakers lead 19-12, good start.",Twitter for Android,
2016-12-21T00:20:28.000Z,The lakers have their 3 ball going again,Twitter Web Client,
2016-12-21T00:20:28.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter Web Client,
2016-12-21T00:20:29.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter for iPhone,
2016-12-21T00:20:28.000Z,my new spirit animal #ShaqStatue https://t.co/sd3cMQBIv3 https://t.co/1TVyR7HkDd,Twitter Web Client,
2016-12-21T00:20:29.000Z,viendo Los Angeles Lakers vs Charlotte Hornets,Facebook,
2016-12-21T00:20:29.000Z,"RT @Lakers: D3ng hits with a defender in his grill!

Lakers lead 14-10 early in the first.",Twitter for Android,
2016-12-21T00:20:29.000Z,RT @Lakers: #LakeShow https://t.co/CVtzP1zpcN,Twitter for Android,
2016-12-21T00:20:30.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter for iPhone,
2016-12-21T00:20:30.000Z,https://t.co/aVOCRlo7AQ RT https://t.co/SgwFBGsaS6,Botize,
2016-12-21T00:20:30.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter for iPhone,
2016-12-21T00:20:30.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Tweetbot for iΟS,
2016-12-21T00:20:30.000Z,RT @BaxterHolmes: Lakers announce that a statue of Shaq will be unveiled at Star Plaza outside Staples Center prior to the Lakers gam… ,Twitter for Android,
2016-12-21T00:20:30.000Z,RT @BaxterHolmes: Lakers announce that a statue of Shaq will be unveiled at Star Plaza outside Staples Center prior to the Lakers gam… ,Twitter for iPhone,
2016-12-21T00:20:31.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter for iPhone,
2016-12-21T00:20:31.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter for Android,
2016-12-21T00:20:32.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter for Windows,
2016-12-21T00:20:32.000Z,"RT @TheHoopCentral: The Lakers new Statue of Shaq. Will be revealed March 24, 2017. https://t.co/nsqbWf2PEC",Twitter for iPhone,
2016-12-21T00:20:32.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter for Android,
2016-12-21T00:20:32.000Z,Lakers are still HOT,TweetDeck,
2016-12-21T00:20:32.000Z,"@geoffschwartz curious, why a SF giants fan and not dodgers if lakers fan and not gsw.",Twitter Web Client,
2016-12-21T00:20:32.000Z,"RT @LakersNation: Your starters for tonight:

Lakers - D-Lo, Nick, Deng, Randle, Mozzy

Hornets - Kemba, Batum, MKG, Marvin, Zeller",Twitter for Android,
2016-12-21T00:20:33.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter for iPhone,
2016-12-21T00:20:33.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter for Android,
2016-12-21T00:20:33.000Z,watching Los Angeles Lakers vs Charlotte Hornets,Facebook,
2016-12-21T00:20:34.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter for Android,
2016-12-21T00:20:34.000Z,Charlotte Hornets – Los Angeles Lakers maçını canlı izle 21 aralık 2016… https://t.co/TvC6Z0nPWw #canlımaçizle,Google,
2016-12-21T00:20:35.000Z,The LA Lakers are giving @Shaq a statue https://t.co/wop0oHgho0,Twitter Web Client,
2016-12-21T00:20:35.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter Web Client,
2016-12-21T00:20:37.000Z,"RT @LakersReporter: The Lakers have it going offensively to start, using the 2nd @NickSwagyPYoung 3 to take a 19-12 lead. @Dloading has 4 a…",Twitter for iPhone,
2016-12-21T00:20:37.000Z,"RT @LakersReporter: The Lakers have it going offensively to start, using the 2nd @NickSwagyPYoung 3 to take a 19-12 lead. @Dloading has 4 a…",Twitter Web Client,
